u,g,r,i,z,label,z1,zerr
18.25264,16.28194,15.40585,14.97746,14.63428,GALAXY,0.04713542,8.72E-06
18.73992,16.73166,15.80049,15.36624,15.04679,GALAXY,0.08045609,1.39E-05
19.25651,17.85905,17.04279,16.57988,16.25076,GALAXY,0.1245829,1.28E-05
19.57361,19.34208,19.08416,19.07324,19.01324,QSO,1.045603,0.000511
19.30504,19.08999,18.95838,18.76369,18.8509,QSO,1.507263,0.000351305
18.3965,17.63394,17.31586,17.09671,16.98179,GALAXY,0.03508265,5.74E-06
17.66573,16.91458,16.74807,16.61929,16.56535,GALAXY,0.02859333,4.81E-06
18.83503,17.38887,16.56751,16.09306,15.74558,GALAXY,0.09454351,1.01E-05
19.32311,17.96829,17.45408,17.14669,16.95674,GALAXY,0.06006181,1.33E-05
18.64031,17.36214,16.74266,16.37173,16.18397,GALAXY,0.08481373,1.06E-05
18.70883,16.60977,15.5608,15.05495,14.63674,GALAXY,0.05909625,1.51E-05
18.15713,17.01549,16.54668,16.28109,16.16588,GALAXY,0.03726938,1.50E-05
19.14358,17.44093,16.58222,16.07225,15.7047,GALAXY,0.05311063,1.29E-05
18.40598,17.41464,17.08081,16.86479,16.72586,GALAXY,0.03374342,6.45E-06
18.9348,17.81008,17.4238,17.20451,17.08622,GALAXY,0.0351255,6.85E-06
18.09029,16.69262,16.13536,15.85922,15.64833,GALAXY,0.03352251,1.24E-05
19.50531,18.38154,17.80274,17.41262,17.11729,GALAXY,0.04741414,6.29E-06
18.65935,17.81233,17.58564,17.15428,17.1078,GALAXY,0.07805017,6.11E-06
14.92428,13.64997,12.9787,12.62806,12.3874,GALAXY,0.009476469,1.58E-05
18.99891,17.69772,16.9427,16.53872,16.27149,GALAXY,0.1031471,1.61E-05
18.92263,17.15646,16.22819,15.68339,15.24804,GALAXY,0.04607323,1.67E-05
19.28166,19.1106,18.71885,18.57507,18.59251,QSO,1.442833,0.000400177
19.2906,17.66897,16.7746,16.30925,15.91561,GALAXY,0.1346579,1.89E-05
19.1859,17.7213,17.19016,16.92724,16.7144,GALAXY,0.05787023,1.65E-05
19.30167,18.66633,18.17921,17.83391,17.74773,QSO,1.496181,0.000413747
19.08922,17.44588,16.5616,16.05905,15.69381,GALAXY,0.05204221,1.10E-05
17.47517,16.54045,16.20832,16.08039,15.98027,GALAXY,0.009335544,4.30E-06
18.81036,16.70265,15.70331,15.21526,14.81075,GALAXY,0.05353314,1.76E-05
16.05625,14.15137,13.2881,12.83025,12.59622,GALAXY,0.03389839,7.05E-06
19.19993,17.93984,17.54564,17.2602,17.13586,GALAXY,0.03412746,5.50E-06
18.8092,17.36361,16.56024,16.12336,15.82915,GALAXY,0.0913936,2.07E-05
17.5264,17.19977,16.70448,16.2802,16.10445,QSO,0.1344889,3.25E-05
18.26813,18.3876,18.69996,18.96914,19.33944,QSO,2.543235,-1
19.47155,17.89826,17.44985,17.07527,16.86362,GALAXY,0.0583014,5.93E-06
18.98135,18.88106,18.80202,18.58941,18.43829,QSO,1.928498,0.000305124
18.95157,17.83457,17.36348,17.026,16.80645,GALAXY,0.0735491,7.02E-06
18.58764,17.67404,17.40989,17.18176,17.06244,GALAXY,0.04979234,6.23E-06
19.16462,17.36599,16.49117,16.03644,15.72984,GALAXY,0.07208411,1.86E-05
19.34233,17.9743,17.27663,16.9041,16.68623,GALAXY,0.03621366,1.62E-05
19.58998,18.38315,17.59462,17.16533,16.92096,GALAXY,0.2057546,1.25E-05
18.47779,17.26788,16.79593,16.56206,16.38955,GALAXY,0.02988091,1.40E-05
19.40158,17.34192,16.33704,15.88266,15.51513,GALAXY,0.09173156,1.90E-05
19.58717,18.26026,17.82856,17.55031,17.48721,GALAXY,0.04834127,9.00E-06
18.17509,18.05203,17.8666,17.50987,17.67619,QSO,0.1915073,2.18E-05
18.7107,17.0512,16.0986,15.59354,15.21029,GALAXY,0.08934451,2.02E-05
16.74159,15.08092,14.24666,13.78206,13.44575,GALAXY,0.03561575,7.15E-06
18.19283,16.68291,15.8469,15.41092,15.0649,GALAXY,0.1054698,9.44E-06
17.58848,16.29078,15.6689,15.30099,15.04247,GALAXY,0.0619469,1.00E-05
19.57355,18.01192,17.24679,16.81259,16.51093,GALAXY,0.09396929,7.89E-06
19.34637,19.07812,18.77109,18.77971,18.71625,QSO,1.00972,0.000451495
19.46334,17.65372,16.68086,16.31038,15.85229,GALAXY,0.1044839,2.39E-05
19.10132,17.18491,16.26541,15.8338,15.49335,GALAXY,0.07196669,1.89E-05
19.47929,18.11107,17.57099,17.27337,17.01162,GALAXY,0.03642116,8.06E-06
18.35915,17.09407,16.60403,16.34599,16.11408,GALAXY,0.04762553,1.29E-05
19.44745,18.11886,17.45595,17.01852,16.77307,GALAXY,0.09272963,6.55E-06
18.82034,17.3898,16.6003,16.18832,15.882,GALAXY,0.09860802,1.61E-05
19.33208,18.07582,17.45707,17.02985,16.80321,GALAXY,0.08950675,6.30E-06
18.82868,17.86691,17.46401,17.20443,17.04403,GALAXY,0.0811986,6.95E-06
19.16288,17.1654,16.18289,15.65467,15.23132,GALAXY,0.04651541,1.66E-05
19.49973,19.34233,19.21796,18.93637,18.84769,QSO,1.68276,0.000285994
19.02212,18.58219,18.55404,18.40306,18.42413,QSO,0.6501514,0.000326757
19.26569,17.38961,16.39862,15.91744,15.55085,GALAXY,0.06457039,1.82E-05
19.31989,17.18868,16.14504,15.6035,15.14986,GALAXY,0.06176497,1.40E-05
18.34545,16.35112,15.42339,14.96614,14.63428,GALAXY,0.06996721,1.30E-05
19.32835,17.61184,16.77779,16.31049,15.97876,GALAXY,0.03147409,1.89E-05
18.41437,16.64718,15.73495,15.23219,14.81856,GALAXY,0.03047787,1.62E-05
18.40517,16.81934,15.96459,15.47362,15.09963,GALAXY,0.04523055,1.26E-05
19.23495,18.96098,18.58988,18.45366,18.55947,QSO,1.409375,0.00037071
17.20633,15.86785,15.2636,14.91046,14.65697,GALAXY,0.03174879,1.12E-05
18.62014,17.3003,16.68654,16.32212,16.10328,GALAXY,0.05508933,7.76E-06
18.49006,18.58725,18.53692,18.26779,18.12405,QSO,1.959616,0.000147416
17.70148,16.51604,15.95582,15.67314,15.6313,GALAXY,0.03158765,3.28E-05
18.55066,16.83633,16.00222,15.56682,15.25205,GALAXY,0.05988637,1.41E-05
19.53255,18.06323,17.16785,16.68782,16.37033,GALAXY,0.1450173,1.94E-05
17.71395,16.03811,15.23357,14.78828,14.43755,GALAXY,0.03469771,8.18E-06
18.49819,16.87777,16.2929,15.91889,15.66213,GALAXY,0.05013418,8.60E-06
19.22499,17.30905,16.3331,15.77573,15.33315,GALAXY,0.0635495,1.97E-05
18.53119,16.95575,16.23251,15.79353,15.4909,GALAXY,0.05640679,1.12E-05
19.3704,18.12448,17.50346,17.15909,16.92581,GALAXY,0.05256344,8.17E-06
18.19352,16.91017,16.34883,15.98453,15.76657,GALAXY,0.07229327,8.64E-06
19.52048,17.66737,16.71835,16.29146,15.95942,GALAXY,0.0944868,1.92E-05
18.99591,17.48134,16.78394,16.35198,16.05838,GALAXY,0.04673364,1.11E-05
17.83206,15.90783,15.06158,14.6467,14.29656,GALAXY,0.0342144,9.07E-06
18.62466,17.35527,16.8895,16.66123,16.50394,GALAXY,0.008126457,1.24E-05
19.12688,17.47676,16.52348,16.02848,15.67217,GALAXY,0.08601364,1.72E-05
19.50054,18.25622,17.59277,17.14574,16.88506,GALAXY,0.1035737,6.20E-06
18.75272,16.82734,15.87301,15.43964,15.10313,GALAXY,0.08156303,1.70E-05
18.95076,18.78869,18.80525,18.58586,18.61272,QSO,1.783248,0.000196327
19.47309,17.90972,17.06874,16.64165,16.33112,GALAXY,0.1147431,2.17E-05
18.7129,16.83307,15.85851,15.40879,15.07479,GALAXY,0.08776588,1.35E-05
19.49312,19.61293,19.19238,19.10344,19.183,QSO,1.377692,0.000416913
18.78472,17.15642,16.34345,15.91586,15.63484,GALAXY,0.06385154,1.23E-05
19.26991,17.8105,17.04255,16.62123,16.32092,GALAXY,0.09587193,1.13E-05
19.28325,17.36151,16.36488,15.89617,15.52855,GALAXY,0.09901231,1.84E-05
19.57555,18.44333,17.89572,17.49012,17.32046,GALAXY,0.1173546,7.09E-06
17.55517,15.66511,14.77158,14.32638,13.98746,GALAXY,0.0358157,1.27E-05
18.42715,17.225,16.77058,16.4618,16.33625,GALAXY,0.09195351,8.58E-06
19.54664,18.03856,17.46325,17.11679,16.88243,GALAXY,0.05290663,7.94E-06
17.5347,15.58625,14.70187,14.28627,13.93282,GALAXY,0.03552411,1.02E-05
18.51884,17.2889,16.65537,16.23708,15.97593,GALAXY,0.1104115,6.21E-06
17.83008,17.51574,17.35576,17.27725,17.11701,QSO,2.177697,0.000325309
18.25487,16.64554,15.89587,15.47439,15.13583,GALAXY,0.03829997,1.33E-05
18.70386,16.74443,15.81316,15.34469,14.94877,GALAXY,0.04016967,1.37E-05
18.76204,16.92421,16.33578,15.99017,15.7286,GALAXY,0.03308033,6.59E-06
16.9798,15.68208,14.99314,14.62884,14.31951,GALAXY,0.03656867,1.09E-05
19.29062,18.25167,17.87047,17.60295,17.41158,GALAXY,0.03437765,6.66E-06
17.89492,16.59043,16.03117,15.68735,15.5207,GALAXY,0.03541532,9.84E-06
19.5132,17.81556,16.93882,16.47583,16.14994,GALAXY,0.05474215,1.35E-05
18.48811,16.49738,15.55735,15.11557,14.77159,GALAXY,0.06895768,1.25E-05
18.10057,16.84735,16.33188,16.02178,15.85586,GALAXY,0.03189058,6.58E-06
18.72055,18.21032,17.58961,17.1184,17.11199,QSO,0.2024926,3.71E-05
16.71274,15.52891,14.8876,14.55636,14.27763,GALAXY,0.03449827,1.37E-05
19.28837,17.37595,16.44067,16.02899,15.69419,GALAXY,0.09751161,1.58E-05
18.74686,17.56558,16.92585,16.51925,16.29282,GALAXY,0.1070331,8.53E-06
19.40482,18.21325,17.77644,17.50117,17.4247,GALAXY,0.03703885,9.00E-06
19.40055,18.19068,17.51262,17.10741,16.86516,GALAXY,0.1523817,9.55E-06
18.11276,16.49351,15.77407,15.39938,15.10025,GALAXY,0.02780356,9.69E-06
17.09453,15.26789,14.42462,14.01376,13.72376,GALAXY,0.03414453,7.66E-06
18.20969,16.84031,16.20578,15.88003,15.67429,GALAXY,0.04706598,2.16E-05
19.22812,18.20922,17.51904,17.08681,16.90475,GALAXY,0.1756647,1.60E-05
18.5526,18.2314,18.07363,17.82185,17.83251,QSO,1.561724,0.000250079
17.86453,15.87685,14.91199,14.47644,14.11056,GALAXY,0.05626676,1.25E-05
18.4627,17.19696,16.59705,16.22445,16.02858,GALAXY,0.1046919,9.33E-06
18.30882,17.1575,16.81091,16.52757,16.47811,GALAXY,0.04654077,6.56E-06
19.39635,17.4807,16.49266,16.04037,15.68295,GALAXY,0.09046915,1.48E-05
18.3793,16.64824,15.70811,15.21156,14.82893,GALAXY,0.03798373,9.58E-06
17.4572,15.52949,14.67105,14.24393,13.91502,GALAXY,0.03530645,9.12E-06
18.98684,18.01774,17.4976,17.15964,16.92385,GALAXY,0.03783836,8.23E-06
19.00316,17.02329,16.11966,15.68685,15.35345,GALAXY,0.05316087,1.14E-05
18.27048,17.14271,16.60523,16.18502,16.0181,GALAXY,0.07137293,8.53E-06
19.35882,18.06617,17.59826,17.2708,17.18839,GALAXY,0.05364124,1.30E-05
19.40983,18.74052,18.573,18.52991,18.30675,QSO,2.37116,0.000284659
19.18069,18.95169,18.80734,18.57046,18.58194,QSO,1.833143,0.000577806
18.76933,17.74228,17.36941,17.02858,16.9286,GALAXY,0.08541966,7.43E-06
19.34551,17.34518,16.35071,15.85403,15.63963,GALAXY,0.101767,1.78E-05
18.15467,17.02267,16.54264,16.34606,16.23472,GALAXY,0.008555075,7.08E-05
18.83995,17.0187,16.09326,15.68604,15.31228,GALAXY,0.06766435,2.15E-05
19.51336,17.60936,16.67248,16.23937,15.91394,GALAXY,0.09183411,1.64E-05
18.76253,17.69992,17.45293,17.26217,17.15399,GALAXY,0.04120428,6.58E-06
18.94021,17.67617,17.03977,16.70197,16.44672,GALAXY,0.04442845,1.04E-05
18.2175,16.60244,15.83473,15.42516,15.15385,GALAXY,0.03775924,1.76E-05
18.63028,16.60647,15.66794,15.12609,14.70652,GALAXY,0.04610727,9.94E-06
19.27755,19.18709,19.04281,18.97992,19.13787,QSO,1.398374,0.000411593
19.53061,17.7388,16.75737,16.33481,15.98738,GALAXY,0.1058547,1.93E-05
19.44354,18.05436,17.323,16.94042,16.63512,GALAXY,0.1239992,1.96E-05
17.77456,15.86664,14.99077,14.55419,14.22372,GALAXY,0.04736136,1.40E-05
18.97839,16.89256,15.97028,15.50441,15.16968,GALAXY,0.09747623,1.63E-05
19.55136,17.76493,16.88081,16.38758,16.03898,GALAXY,0.05671977,1.31E-05
19.00744,17.58176,16.85969,16.45114,16.13954,GALAXY,0.09289805,1.44E-05
19.52387,18.19865,17.49434,17.0356,16.73005,GALAXY,0.114168,1.21E-05
16.96077,15.85194,15.42245,15.16166,14.8897,GALAXY,0.03710583,6.51E-06
18.88898,17.62908,17.06119,16.72085,16.50308,GALAXY,0.09837392,1.16E-05
18.01287,16.76512,16.24526,15.93871,15.71418,GALAXY,0.03075671,6.86E-06
17.485,15.96596,15.2046,14.79299,14.49997,GALAXY,0.05933799,1.03E-05
19.36971,18.2242,17.81914,17.51439,17.38096,GALAXY,0.06732932,1.27E-05
19.09939,17.70261,17.09248,16.72603,16.50308,GALAXY,0.05923841,1.07E-05
17.28858,15.32054,14.42932,13.94775,13.56382,GALAXY,0.03849552,1.15E-05
18.49304,17.20075,16.63261,16.31598,16.11017,GALAXY,0.04737121,1.52E-05
18.28208,16.2074,15.20348,14.74431,14.38276,GALAXY,0.08157226,1.89E-05
18.86686,17.59131,17.009,16.61576,16.3895,GALAXY,0.06213123,7.70E-06
17.16476,15.48058,14.66844,14.25553,13.96506,GALAXY,0.04049202,1.32E-05
18.84359,17.09369,16.28646,15.90126,15.61085,GALAXY,0.03931849,1.38E-05
18.7528,17.36168,16.73907,16.3578,16.1154,GALAXY,0.08594823,1.41E-05
19.05692,17.45048,16.63501,16.23198,15.91511,GALAXY,0.1104389,1.40E-05
17.82299,16.66876,16.08785,15.79766,15.53189,GALAXY,0.01485694,6.55E-06
18.75176,16.93785,16.06319,15.62069,15.22627,GALAXY,0.03333565,9.12E-06
19.13197,17.94509,17.45892,17.12214,17.01628,GALAXY,0.07483277,7.80E-06
17.78441,17.34922,17.18591,17.19433,17.09191,QSO,0.7862117,9.58E-05
19.42627,18.06539,17.26969,16.82733,16.53802,GALAXY,0.1571124,1.02E-05
18.69174,18.10178,17.48753,17.2115,16.94639,GALAXY,0.2719201,1.57E-05
19.13775,17.41489,16.63354,16.30361,16.02022,GALAXY,0.03440402,1.76E-05
19.04824,17.52695,16.86444,16.5011,16.3014,GALAXY,0.06178825,2.27E-05
19.39972,18.10093,17.76662,17.54864,17.40611,GALAXY,0.05400627,8.44E-06
19.34145,19.09297,18.83323,18.7994,18.807,QSO,1.0409,0.000360551
19.49039,18.82313,18.58606,18.56272,18.42081,QSO,2.268991,0.000542374
19.14076,18.43565,18.40369,18.40391,18.21046,QSO,2.662687,0.000118425
19.19711,19.10596,19.11914,18.86214,18.81318,QSO,1.797516,0.000313821
18.64195,17.25993,16.79804,16.50615,16.42502,GALAXY,0.05009931,1.04E-05
