aX,aY,aZ,gX,gY,gZ
-0.085,-1.448,0.320,62.805,-42.175,131.165
-0.080,-1.411,0.371,69.397,-46.692,134.583
-0.056,-1.389,0.409,78.735,-53.162,134.888
-0.002,-1.386,0.406,89.478,-59.204,135.742
0.055,-1.347,0.390,99.182,-61.035,141.174
0.109,-1.273,0.358,105.408,-58.289,151.550
0.139,-1.187,0.334,107.361,-53.467,165.955
0.169,-1.105,0.318,107.239,-49.377,181.030
0.206,-1.016,0.327,108.521,-46.814,193.542
0.156,-0.908,0.270,112.061,-46.997,203.125
0.177,-0.860,0.315,117.004,-43.030,208.923
0.178,-0.792,0.319,122.375,-45.654,207.153
0.131,-0.741,0.275,129.150,-51.270,204.407
0.145,-0.726,0.245,136.169,-52.856,203.186
0.204,-0.695,0.176,141.907,-54.871,204.895
0.237,-0.609,0.101,145.508,-57.556,214.539
0.265,-0.519,0.108,145.569,-59.082,231.384
0.303,-0.380,0.090,140.991,-61.707,248.230
0.327,-0.254,0.156,134.705,-63.904,262.634
0.360,-0.143,0.181,128.601,-65.979,270.325
0.378,-0.042,0.193,125.977,-65.613,270.630
0.384,0.049,0.228,126.587,-60.547,264.282
0.343,0.082,0.220,128.174,-54.199,252.075
0.336,0.082,0.148,131.409,-49.255,235.352
0.368,0.047,0.082,138.184,-48.462,219.971
0.359,0.054,0.061,143.799,-50.659,215.332
0.361,0.100,0.057,145.081,-56.396,217.590
0.377,0.161,0.060,140.686,-62.256,222.656
0.424,0.260,0.107,133.606,-64.331,228.638
0.439,0.349,0.141,125.305,-65.979,235.291
0.475,0.398,0.203,117.126,-63.843,239.075
0.475,0.428,0.214,110.107,-63.904,235.107
0.456,0.443,0.192,104.370,-63.660,225.342
0.470,0.457,0.169,104.309,-62.378,212.769
0.520,0.459,0.154,111.023,-62.134,200.867
0.556,0.489,0.165,118.164,-63.904,194.092
0.584,0.550,0.170,119.995,-67.932,191.467
0.605,0.594,0.171,117.310,-73.608,188.965
0.574,0.604,0.181,111.145,-77.820,185.913
0.665,0.657,0.243,104.248,-78.308,178.467
0.659,0.650,0.246,98.389,-79.651,170.349
0.630,0.631,0.249,92.285,-78.369,162.048
0.610,0.617,0.242,89.111,-74.585,151.611
0.615,0.588,0.233,89.478,-70.679,141.968
0.623,0.576,0.227,91.003,-68.420,136.658
0.620,0.579,0.225,91.125,-67.749,136.047
0.595,0.602,0.231,89.478,-70.251,135.498
0.685,0.665,0.297,87.036,-73.608,132.874
0.716,0.701,0.372,83.252,-78.491,131.470
0.745,0.739,0.443,76.904,-80.444,128.845
0.796,0.790,0.529,72.083,-78.125,123.047
0.871,0.800,0.622,70.984,-71.289,115.845
0.938,0.832,0.659,72.876,-61.707,107.727
1.003,0.903,0.630,74.646,-53.650,97.900
1.046,0.969,0.597,74.402,-47.241,90.149
1.103,1.042,0.572,72.388,-42.358,82.092
1.147,1.105,0.575,67.505,-38.513,75.134
1.207,1.181,0.590,58.960,-34.302,67.688
1.310,1.273,0.632,49.805,-29.785,57.373
1.359,1.339,0.672,43.091,-24.048,46.875
1.394,1.403,0.722,38.086,-14.099,32.837
1.419,1.437,0.732,33.325,-1.587,14.343
1.406,1.416,0.701,28.687,11.292,-6.165
1.390,1.361,0.670,24.597,23.560,-27.527
1.369,1.299,0.651,19.348,32.471,-46.753
1.314,1.230,0.625,11.353,37.659,-60.181
1.261,1.168,0.590,0.061,40.039,-69.458
1.204,1.119,0.559,-11.230,41.504,-76.416
1.133,1.048,0.513,-20.874,42.847,-82.886
1.088,1.002,0.470,-27.893,44.678,-89.783
