aX,aY,aZ,gX,gY,gZ
0.349,-0.056,0.783,-18.433,27.954,4.517
0.341,-0.015,0.821,-6.165,11.169,11.719
0.306,0.055,0.903,7.019,-2.930,17.578
0.343,0.091,0.968,13.000,-11.414,18.921
0.386,0.068,1.071,9.705,-14.587,16.541
0.365,0.036,1.158,2.136,-11.475,15.320
0.349,-0.008,1.215,-4.822,-2.563,14.648
0.356,-0.070,1.214,-6.958,7.690,14.465
0.338,-0.121,1.183,-2.441,15.930,16.602
0.396,-0.146,1.092,8.423,20.142,20.996
0.456,-0.116,1.017,24.109,20.020,27.893
0.511,-0.008,0.943,40.039,17.029,35.034
0.561,0.124,0.883,51.147,12.146,38.757
0.619,0.262,0.847,52.063,8.118,36.560
0.673,0.307,0.820,45.959,7.568,29.724
0.748,0.320,0.785,35.461,7.874,20.813
0.797,0.289,0.757,25.696,6.104,12.878
0.822,0.250,0.737,22.156,2.808,7.080
0.830,0.241,0.725,21.301,-1.282,2.136
0.822,0.248,0.726,20.935,-5.371,-2.136
0.795,0.266,0.735,18.921,-10.071,-7.263
0.746,0.240,0.757,14.954,-13.550,-13.794
0.713,0.206,0.799,8.179,-17.212,-20.508
0.678,0.178,0.863,-1.404,-21.423,-28.076
0.691,0.098,0.943,-11.841,-23.926,-35.828
0.808,0.041,1.021,-22.949,-26.917,-40.222
1.024,0.019,1.092,-31.067,-31.982,-41.016
1.350,-0.038,1.136,-31.433,-39.551,-38.818
1.684,-0.068,1.128,-24.780,-50.110,-33.325
2.065,-0.103,1.056,-13.550,-63.538,-25.330
2.510,-0.068,0.964,-0.732,-83.130,-17.944
2.861,0.034,0.922,15.381,-108.032,-14.465
3.154,0.177,0.905,34.424,-131.409,-18.494
3.222,0.364,0.927,49.011,-146.912,-30.518
3.018,0.547,0.973,55.237,-148.926,-47.546
2.612,0.699,0.982,47.058,-137.817,-71.106
2.083,0.773,0.951,26.001,-117.676,-98.877
1.493,0.766,0.823,4.395,-91.736,-125.916
0.956,0.660,0.606,-9.277,-63.293,-148.193
0.475,0.517,0.469,-11.414,-41.931,-156.982
0.067,0.448,0.382,0.854,-24.414,-148.437
-0.381,0.682,0.195,32.532,-2.625,-126.343
-1.212,1.123,0.163,96.313,25.879,-94.116
-2.276,1.729,0.288,171.326,70.557,-65.491
-3.814,2.348,0.403,210.693,127.319,-41.565
-4.000,3.116,0.251,173.401,158.691,-32.654
-4.000,3.054,0.091,62.622,129.883,-89.111
-4.000,1.950,0.006,-77.393,12.817,-228.699
-4.000,-0.148,0.415,-162.720,-149.536,-382.080
-4.000,-2.045,0.940,-209.106,-280.701,-449.219
-3.019,-3.345,1.748,-260.559,-345.032,-394.897
-1.957,-3.465,2.659,-312.256,-343.750,-218.201
-1.125,-3.063,3.493,-318.787,-297.058,23.804
-0.574,-2.069,3.664,-247.437,-210.022,193.542
-0.591,-0.818,3.332,-96.375,-77.759,253.601
-0.978,0.366,2.652,97.290,61.768,236.389
-1.576,0.786,2.364,275.085,173.279,180.176
-1.590,1.368,1.471,327.393,251.770,103.027
-1.674,1.442,0.727,268.433,295.593,58.533
-1.836,1.169,0.107,140.015,299.805,52.979
-1.748,0.881,-0.247,-9.033,274.902,53.162
-1.649,0.580,-0.272,-117.493,223.450,48.889
-1.537,0.253,-0.081,-154.602,162.903,44.556
-1.337,-0.003,0.216,-130.432,113.525,44.556
-1.103,-0.165,0.566,-74.097,75.500,49.255
-1.016,-0.122,0.842,-14.771,51.575,57.373
-0.875,0.015,0.904,31.494,46.570,68.054
-0.769,0.168,0.880,59.143,50.720,82.031
-0.671,0.328,0.836,62.073,56.030,94.482
-0.597,0.453,0.789,44.556,59.021,98.694
-0.536,0.473,0.789,19.226,59.387,93.506
-0.431,0.401,0.761,-4.028,59.326,81.665
-0.278,0.284,0.784,-17.395,57.007,70.618
-0.171,0.153,0.795,-20.752,53.833,67.261
-0.094,0.088,0.820,-15.442,50.537,69.702

1.267,0.161,1.148,-5.066,7.141,-47.791
1.376,0.172,0.981,-1.831,15.320,-53.955
1.447,0.156,0.808,0.793,17.151,-59.143
1.577,0.170,0.634,0.061,11.963,-65.186
1.622,0.160,0.514,0.671,-2.686,-67.688
1.620,0.125,0.475,3.540,-23.132,-67.505
1.601,0.091,0.510,5.310,-45.898,-67.566
1.565,0.081,0.596,6.409,-68.298,-69.153
1.512,0.098,0.700,10.559,-85.632,-72.693
1.449,0.087,0.780,16.663,-93.689,-79.712
1.421,0.078,0.817,23.010,-93.079,-87.158
1.365,0.113,0.842,31.189,-84.839,-93.750
1.269,0.153,0.844,45.349,-67.444,-101.501
1.112,0.193,0.808,61.951,-43.762,-109.314
0.826,0.281,0.708,73.669,-17.395,-113.831
0.503,0.469,0.537,76.477,7.690,-117.676
0.075,0.719,0.386,69.519,29.053,-122.864
-0.363,1.025,0.277,58.594,47.546,-129.944
-0.852,1.293,0.179,49.133,63.171,-138.184
-1.481,1.575,0.149,41.321,75.378,-141.296
-2.226,1.677,0.374,33.997,85.266,-130.676
-3.130,1.622,0.704,-0.244,93.445,-101.379
-3.984,1.633,0.752,-70.007,83.069,-77.087
-4.000,1.624,0.568,-117.676,33.936,-94.971
-4.000,0.865,0.703,-97.961,-53.589,-157.410
-4.000,-0.459,0.964,-65.552,-180.359,-245.117
-3.338,-1.675,1.417,-66.406,-301.758,-296.936
-2.245,-2.332,2.322,-101.563,-362.122,-254.272
-1.516,-2.506,3.285,-164.185,-358.398,-112.671
-1.035,-2.179,3.826,-218.689,-296.692,66.040
-0.597,-1.456,3.607,-221.985,-169.983,181.213
-0.580,-0.560,3.044,-151.611,-29.114,199.646
-1.148,0.183,2.397,-29.297,75.806,157.837
-1.444,0.605,1.734,107.788,166.016,104.492
-1.545,0.875,1.086,187.744,235.168,79.346
-1.699,0.983,0.555,173.462,256.714,80.505
-1.766,1.035,0.161,94.727,232.117,83.618
-1.702,0.984,0.027,-2.441,182.495,84.229
-1.582,0.822,0.144,-67.200,136.719,79.407
-1.323,0.588,0.265,-83.069,105.591,66.223
-1.063,0.364,0.392,-59.448,81.848,52.124
-0.847,0.206,0.514,-15.076,60.181,48.889
-0.687,0.131,0.620,28.564,40.771,53.772
-0.563,0.155,0.713,55.542,30.151,64.697
-0.459,0.244,0.831,62.378,28.015,78.491
-0.377,0.367,0.878,49.744,32.410,92.163
-0.239,0.446,0.882,29.968,46.021,100.647
-0.089,0.461,0.812,16.846,58.167,98.511
-0.014,0.367,0.741,12.146,62.988,88.867
0.122,0.247,0.656,9.216,62.317,77.820
0.138,0.187,0.671,7.629,56.335,71.899
0.177,0.140,0.701,9.094,49.927,69.153
0.271,0.066,0.748,10.986,38.147,68.237
0.430,0.084,0.762,10.437,20.874,69.092
0.500,0.188,0.805,15.015,7.202,68.542
