aX,aY,aZ,gX,gY,gZ
-1.029,-0.135,0.229,-168.701,434.509,17.334
-0.974,-0.182,-0.250,-180.786,443.176,16.785
-0.943,-0.207,-0.661,-187.683,433.411,11.353
-0.957,-0.128,-1.004,-188.660,411.133,6.042
-0.812,-0.178,-1.327,-173.218,383.728,5.432
-0.707,-0.248,-1.514,-156.677,341.675,2.747
-0.408,-0.377,-1.712,-161.377,294.189,1.465
-0.297,-0.589,-1.790,-181.885,242.493,-5.188
-0.461,-0.781,-1.958,-226.074,210.083,-19.470
-0.506,-0.952,-2.360,-277.588,207.092,-34.973
-0.584,-1.200,-2.907,-305.542,217.651,-46.692
-0.774,-1.321,-3.491,-288.757,230.225,-51.270
-0.824,-1.230,-4.000,-216.797,238.342,-34.119
-0.828,-0.954,-4.000,-79.041,199.707,4.944
-0.764,-0.702,-4.000,92.651,81.665,53.162
-0.555,-0.459,-3.544,216.003,-77.698,97.900
-0.365,0.030,-2.408,219.421,-200.439,122.986
-0.202,0.381,-1.724,148.621,-234.802,98.938
-0.345,0.312,-1.424,114.746,-243.164,40.955
-0.323,0.266,-0.813,133.362,-275.513,-4.211
-0.111,0.107,-0.605,162.537,-259.216,-26.733
0.145,-0.241,-0.633,181.519,-239.014,-39.185
0.211,-0.329,-0.563,164.368,-247.070,-29.419
0.211,-0.250,-0.455,132.080,-269.958,-5.249
0.189,-0.208,-0.380,104.919,-290.588,19.531
0.150,-0.163,-0.323,83.191,-305.359,41.382
0.056,-0.042,-0.175,72.266,-313.354,60.791
-0.101,0.243,0.008,77.759,-312.073,74.707
-0.151,0.431,0.124,99.976,-299.866,77.209

-0.084,0.454,2.370,120.544,-338.440,26.428
0.055,0.310,2.451,94.177,-294.617,14.832
0.180,0.157,2.143,56.152,-243.591,11.658
0.294,0.079,1.636,19.714,-197.144,22.034
0.233,0.135,1.146,-6.836,-171.204,37.537
-0.095,0.364,0.926,-6.042,-163.452,52.795
-0.271,0.518,1.052,30.212,-171.265,62.073
-0.292,0.618,1.343,74.463,-183.228,54.810
-0.326,0.586,1.702,111.328,-187.683,36.194
-0.175,0.484,2.034,132.385,-184.448,20.630
0.001,0.385,2.192,133.911,-165.649,8.484
0.167,0.264,2.191,119.080,-135.864,3.723
0.276,0.179,2.015,84.778,-106.323,6.531
0.297,0.150,1.577,39.551,-78.247,10.864
0.242,0.118,1.072,6.226,-62.927,15.808
0.208,0.163,0.670,-10.559,-64.331,15.564
0.125,0.142,0.465,-11.292,-87.463,17.395
-0.098,0.212,0.376,1.892,-100.464,21.240
-0.243,0.339,0.615,29.907,-116.516,26.733
-0.310,0.408,1.067,67.627,-134.033,26.794
-0.316,0.451,1.484,92.773,-139.282,18.066
-0.243,0.438,1.775,102.905,-130.554,7.568
-0.126,0.365,1.831,100.037,-107.117,-3.540
-0.002,0.300,1.811,83.923,-82.397,-10.803
0.080,0.234,1.655,59.570,-65.796,-12.146
0.075,0.170,1.425,33.386,-54.016,-11.597
0.037,0.153,1.247,15.015,-49.927,-8.179
0.023,0.173,1.136,5.371,-52.307,-4.517
-0.021,0.201,1.081,4.028,-55.237,-3.052
-0.089,0.238,1.137,13.306,-56.396,-1.221
0.016,0.443,1.319,29.175,-55.603,0.549
0.734,1.558,3.131,74.158,-68.054,-8.545
-0.369,-0.002,3.563,131.531,-103.210,-17.883
-0.696,-0.604,1.720,-10.864,-15.442,-30.396
0.050,0.202,0.260,-101.257,99.731,-22.217
0.448,0.331,0.084,-20.386,102.112,16.296
0.131,0.123,0.860,41.809,19.043,24.414
0.213,0.179,0.665,26.367,12.085,2.075
0.141,0.150,0.692,13.489,3.357,-2.686
0.005,0.089,0.788,17.944,-9.644,0.610
0.003,0.195,0.849,13.550,-10.193,6.104
0.002,0.272,0.947,4.456,-14.221,7.690
-0.021,0.299,1.159,5.737,-21.545,3.967
-0.048,0.275,1.403,13.000,-19.714,-0.793
-0.058,0.254,1.651,20.081,-12.573,-0.916
-0.106,0.269,1.943,24.719,-3.357,1.282
-0.183,0.279,2.272,27.771,8.301,2.502
-0.242,0.291,2.629,27.832,22.766,3.235
-0.297,0.317,2.972,20.142,40.710,2.075
-0.409,0.349,3.296,6.287,62.683,-1.343
-0.533,0.352,3.651,-7.690,87.463,-4.272
-0.657,0.355,3.982,-23.682,115.356,-8.301
-0.752,0.359,4.000,-42.847,150.940,-15.747
-0.787,0.262,4.000,-61.584,195.312,-25.146
-0.817,0.103,4.000,-83.557,250.244,-36.072
-0.803,-0.122,3.752,-103.027,317.383,-44.312
-0.828,-0.328,3.188,-113.770,385.986,-43.945
-0.952,-0.483,2.640,-119.019,446.472,-36.621
-0.975,-0.518,2.126,-118.347,492.126,-21.912
-1.354,-0.416,1.738,-109.741,523.987,-5.981
-0.716,-0.558,0.972,-97.473,564.331,9.521
-0.989,-0.441,0.991,-92.773,523.071,13.000
-1.333,-0.146,0.684,-126.282,501.404,13.245
-1.195,-0.180,0.287,-137.451,492.920,14.587
-1.143,-0.255,0.010,-139.038,467.285,-0.977
-1.061,-0.307,-0.240,-164.795,437.317,-11.536
-1.049,-0.261,-0.385,-187.195,411.987,-12.878
-1.088,-0.143,-0.516,-173.767,397.217,-15.198
-1.021,-0.134,-0.691,-134.583,397.949,-14.038
-0.892,-0.138,-0.891,-91.187,401.978,-11.658
-0.796,-0.184,-1.074,-56.458,394.104,-10.864
-0.696,-0.200,-1.214,-40.161,374.634,-3.174
-0.728,-0.205,-1.346,-39.246,344.971,10.437
-0.674,-0.147,-1.529,-54.810,310.608,26.062
-0.504,-0.152,-1.849,-77.332,278.870,39.734
-0.491,-0.206,-2.098,-107.971,241.028,42.847
-0.416,-0.327,-2.338,-141.846,200.439,45.837
-0.388,-0.380,-2.568,-165.405,156.494,50.903
-0.497,-0.273,-2.761,-172.974,120.117,53.955
-0.474,-0.167,-2.951,-146.057,99.304,55.786
-0.392,-0.066,-3.114,-79.773,75.012,60.181
-0.285,0.056,-3.116,-6.226,34.851,62.134
-0.199,0.142,-2.892,49.133,-24.475,58.899
-0.093,0.196,-2.482,81.909,-93.323,50.537
-0.041,0.180,-2.000,95.154,-151.917,35.339
-0.052,0.124,-1.575,100.037,-192.749,20.752
-0.009,0.095,-1.229,101.379,-217.285,14.771
0.049,0.062,-1.002,100.647,-227.112,13.855
0.073,0.047,-0.896,98.572,-229.370,13.367
0.105,0.013,-0.891,94.971,-233.887,13.611
0.114,0.007,-0.856,88.806,-245.300,15.442
0.104,0.013,-0.784,86.121,-260.254,19.104
0.088,-0.004,-0.660,91.553,-273.804,24.475
0.065,-0.011,-0.492,103.271,-282.959,31.555
0.014,0.035,-0.271,113.708,-289.246,40.710
-0.011,0.094,-0.018,121.582,-292.419,49.194
0.026,0.141,0.238,124.573,-291.138,52.551
-0.008,0.177,0.413,114.014,-286.133,48.706
0.107,0.055,0.452,97.656,-273.315,38.940
0.103,-0.084,0.415,78.918,-267.273,37.354
-0.050,-0.051,0.248,59.509,-260.071,49.194
-0.281,0.186,0.114,58.838,-258.606,67.566
-0.517,0.449,0.321,81.177,-290.039,83.984
-0.590,0.656,0.868,105.530,-337.830,78.369
-0.574,0.635,1.543,121.338,-366.028,52.246
-0.445,0.498,1.984,129.028,-363.892,24.597
-0.301,0.417,2.293,118.286,-348.511,8.911
-0.196,0.375,2.398,95.398,-313.171,5.127
-0.106,0.326,2.277,74.097,-260.559,12.817
0.019,0.308,1.948,54.749,-210.022,26.123
-0.028,0.383,1.596,41.260,-173.523,34.241
-0.223,0.447,1.484,46.692,-161.011,36.499
-0.343,0.565,1.564,64.026,-170.349,38.025
-0.346,0.722,1.787,80.017,-183.289,28.992
-0.248,0.709,2.044,94.360,-186.951,8.423
-0.060,0.610,2.313,102.051,-179.932,-10.620
0.299,0.461,2.483,93.079,-160.889,-23.621
0.214,0.240,2.200,63.904,-134.155,-29.724
0.237,0.204,1.939,23.804,-115.540,-25.452

0.002,0.643,1.849,116.028,-43.274,-23.071
-0.245,0.064,1.735,95.154,-13.428,-18.799
0.132,0.126,1.303,32.898,16.968,-2.380
0.217,0.298,0.993,-13.184,23.621,13.489
0.136,0.413,0.767,-29.358,18.372,16.418
0.061,0.379,0.690,-22.522,10.071,9.705
0.093,0.344,0.664,-4.456,6.775,3.235
0.086,0.295,0.767,18.005,0.000,-1.221
0.042,0.251,1.016,35.706,-6.775,-3.174
0.034,0.331,1.244,39.734,-7.141,-3.784
0.016,0.392,1.540,37.781,-5.798,-4.517
-0.015,0.425,1.908,36.682,-3.235,-6.287
-0.038,0.464,2.286,34.668,4.761,-9.338
-0.045,0.480,2.604,31.311,22.583,-12.634
-0.036,0.441,2.778,23.621,50.232,-17.395
-0.018,0.354,2.770,11.230,86.243,-21.606
0.032,0.284,2.636,-0.305,123.840,-21.362
0.065,0.248,2.435,-10.193,158.020,-17.944
